abies;acer;alnusfru;alnusund;apiaceae;artemisia;asterund;betunana;betula;brassicaceae;carpinus;chenopodiaceae;corylus;cyperaceae;ephedra;ericaceae;fagus;fraxinus;juniperus;larix;olea;picea;pinushap;pinus;plantago;poaceae;quercusever;quercusdec;salix;tilia;ulmus;tann;biome
0;0;0;6.63;0;0;6.92;0;0.86;0.58;0;0.29;1.15;19.02;0;5.19;0;0;0;0;0.29;0;0;8.65;1.15;44.67;1.15;3.17;0.29;0;0;13.561;WAST
0;0;0;0;0;0.55;5.18;0;0;0.74;0;16.08;0;16.08;0;0;0;0;0;0;7.76;0;0;20.33;2.96;26.8;2.59;0.92;0;0;0;14.694;WAST
0.3;0;0;0.6;0;0;2.42;0;0;2.42;0;0;1.21;7.55;0;2.11;0;0;0.6;0;3.32;0;0;56.19;1.51;19.03;0.6;2.11;0;0;0;15.706;WAST
0;0;0;1.34;0.58;4.61;0.77;0;0;0.96;0;39.16;0.38;4.03;0;0.19;0;0;0.58;0;7.49;0;0;14.78;3.45;14.78;0;6.53;0;0;0.38;12.342;WAST
0;0;0;1.17;0.2;0.2;2.34;0;0;0.39;0;0.39;0.39;3.32;0;1.95;0;0.39;0;0;0.98;0;0;10.16;0.78;75;0;2.15;0.2;0;0;12.927;WAST
0.31;0;0;7.67;0;0;3.37;0;0;1.23;0;0;0.61;3.37;0;6.13;0;0;0;0;0.31;0;0;40.49;6.13;29.45;0.92;0;0;0;0;12.572;WAST
0;0;0;0.41;0;0;7.72;0;0.41;4.47;0;0.41;0;1.63;0;8.13;0;0;0;0;0;0;0;14.63;3.25;15.04;5.69;37.8;0;0;0.41;13.857;WAST
0;0;0;0;0.68;0;20.82;0;0;7.85;0;0.68;0;16.04;0;0;0;0;0.34;0;13.31;0;0;29.35;0;7.85;0;3.07;0;0;0;11.108;WAST
0;0;0;1.72;0.57;0;33.59;0;0.57;1.15;0;0.38;0.57;2.67;0;9.73;0;0.19;0;0;0.57;0;0;14.31;0.57;30.53;0.95;1.72;0.19;0;0;12.991;WAST
0;0;0;4.6;0;0;1.84;0;1.61;0.46;0;0;5;3;0;19.31;0;0;0;0;0;0;0;31.26;1.84;28.05;0.23;2.07;0;0;0;13.558;TEDE
0;0;0;0;0;0.31;0.93;0;0;0.93;0;9.91;0;4.33;0;1.55;0;1.24;0;0;15.48;0;0;34.37;3.72;8.98;7.74;8.67;0;0;0.62;14.222;XERO
0;0;0;1.34;0.19;1.15;2.87;0;0.38;0.96;0;27.92;0.19;1.34;0;1.15;0;0.19;0;0;19.12;0;0;9.94;4.02;11.28;7.07;10.13;0;0;0.76;14.236;WAST
0;0;0;0;0;0.29;0.57;0;0;0.57;0.29;52.3;0;1.15;0;0.86;0;0;0;0;1.15;0;0;8.05;0.57;25;4.02;4.89;0;0;0;14.221;WAST
0;0;0;0.27;0;0;13.08;0;0;0.82;0;0.54;0;0.54;0;0;0;0.27;1.36;0;1.36;0;0;35.97;1.09;39.78;2.72;1.63;0;0;0.27;9.909;WAST
0;0;0;0;0;1.14;2.67;0;0;1.71;0;13.33;0;0.76;0;0.57;0.19;0;0.38;0;28.95;0;0;12.57;2.48;12.95;8.19;13.71;0.38;0;0;17.356;XERO
0;0;0;0;0.27;0.27;1.87;0;0;1.6;0;1.6;0;6.95;0;1.07;0;0.27;1.6;0;37.97;0;0;5.35;5.62;5.62;3.74;25.4;0.53;0;0.27;16.613;XERO
0;0;0;0;0;0.86;1.43;0;0.29;0.29;0;0.57;0.57;4.58;0;0.29;0;0;4.58;0;7.16;0;0;48.14;2.87;14.9;5.73;7.74;0;0;0;9.266;XERO
0;0;0;0;0;0;0.28;0;0;1.71;0;41.03;0.14;0.85;0;0.28;0;0;0;0;2.42;0;0;44.87;0.14;7.55;0;0.71;0;0;0;13.806;XERO
0;0;0;0.29;0;1.43;0.57;0;0.29;2.86;0;22.29;0;3.14;0;0;0;0;0;0;10.86;0;0;20;1.43;24.86;0.29;11.43;0;0;0.29;16.513;WAST
0;0;0;1.3;0;1.82;1.82;0;1.04;1.82;0;2.6;0;0.78;0;2.34;0;0;0.78;0;7.29;0;0;51.04;1.82;10.42;0.78;14.32;0;0;0;13.98;WAMX
0;0;0;0.37;0;0;0.93;0;0.56;0.75;0.19;0.19;1.68;0.75;0;5.22;1.12;0;0;0;0.56;0;0;81.9;0.37;3.17;0.37;1.87;0;0;0;7.099;TEDE
0;0;0;0;0.91;2.13;0;0;4.86;1.22;0.3;0.91;2.13;0.91;0;5.47;1.52;1.22;2.43;0;4.86;0;0;47.11;3.04;8.21;3.95;8.81;0;0;0;7.099;WAMX
0;0;0;0.7;1.39;1.05;1.05;0;0;1.05;0;4.18;0;19.16;0;2.44;0;0;1.74;0;2.79;0;0;36.59;7.67;10.45;2.44;6.97;0;0;0;10.183;WAST
0;0;0;0.64;0.64;0;6.09;0;0.64;1.6;0;0.64;1.6;50.64;0;1.6;0.32;0;0;0;0.32;0;0;6.73;2.56;24.36;0.32;1.28;0;0;0;13.546;WAST
0;0;0;0;0.52;33.85;6.46;0;0;1.03;0;2.33;0;3.62;0;0;0;0;0.52;0;18.09;0;0;8.27;1.03;21.45;0.78;2.07;0;0;0;18.022;WAST
